,Lon,Lat,grid_coords
695,-91.125,11.875,"(47, 9)"
696,-91.125,12.125,"(48, 9)"
697,-91.125,12.375,"(49, 9)"
698,-91.125,12.625,"(50, 9)"
699,-91.125,12.875,"(51, 9)"
700,-91.125,13.125,"(52, 9)"
701,-91.125,13.375,"(53, 9)"
702,-91.125,13.625,"(54, 9)"
703,-91.125,13.875,"(55, 9)"
704,-91.125,14.125,"(56, 9)"
705,-91.125,14.375,"(57, 9)"
706,-91.125,14.625,"(58, 9)"
707,-91.125,14.875,"(59, 9)"
708,-91.125,15.125,"(60, 9)"
709,-91.125,15.375,"(61, 9)"
710,-91.125,15.625,"(62, 9)"
711,-91.125,15.875,"(63, 9)"
712,-91.125,16.125,"(64, 9)"
713,-91.125,16.375,"(65, 9)"
714,-91.125,16.625,"(66, 9)"
715,-91.125,16.875,"(67, 9)"
716,-91.125,17.125,"(68, 9)"
717,-91.125,17.375,"(69, 9)"
718,-91.125,17.625,"(70, 9)"
719,-91.125,17.875,"(71, 9)"
720,-90.875,0.125,"(0, 10)"
721,-90.875,0.375,"(1, 10)"
722,-90.875,0.625,"(2, 10)"
723,-90.875,0.875,"(3, 10)"
724,-90.875,1.125,"(4, 10)"
725,-90.875,1.375,"(5, 10)"
726,-90.875,1.625,"(6, 10)"
727,-90.875,1.875,"(7, 10)"
728,-90.875,2.125,"(8, 10)"
729,-90.875,2.375,"(9, 10)"
730,-90.875,2.625,"(10, 10)"
731,-90.875,2.875,"(11, 10)"
732,-90.875,3.125,"(12, 10)"
733,-90.875,3.375,"(13, 10)"
734,-90.875,3.625,"(14, 10)"
735,-90.875,3.875,"(15, 10)"
736,-90.875,4.125,"(16, 10)"
737,-90.875,4.375,"(17, 10)"
738,-90.875,4.625,"(18, 10)"
739,-90.875,4.875,"(19, 10)"
740,-90.875,5.125,"(20, 10)"
741,-90.875,5.375,"(21, 10)"
742,-90.875,5.625,"(22, 10)"
743,-90.875,5.875,"(23, 10)"
744,-90.875,6.125,"(24, 10)"
745,-90.875,6.375,"(25, 10)"
746,-90.875,6.625,"(26, 10)"
747,-90.875,6.875,"(27, 10)"
748,-90.875,7.125,"(28, 10)"
749,-90.875,7.375,"(29, 10)"
750,-90.875,7.625,"(30, 10)"
751,-90.875,7.875,"(31, 10)"
752,-90.875,8.125,"(32, 10)"
753,-90.875,8.375,"(33, 10)"
754,-90.875,8.625,"(34, 10)"
755,-90.875,8.875,"(35, 10)"
756,-90.875,9.125,"(36, 10)"
757,-90.875,9.375,"(37, 10)"
758,-90.875,9.625,"(38, 10)"
759,-90.875,9.875,"(39, 10)"
760,-90.875,10.125,"(40, 10)"
761,-90.875,10.375,"(41, 10)"
762,-90.875,10.625,"(42, 10)"
763,-90.875,10.875,"(43, 10)"
764,-90.875,11.125,"(44, 10)"
765,-90.875,11.375,"(45, 10)"
766,-90.875,11.625,"(46, 10)"
767,-90.875,11.875,"(47, 10)"
768,-90.875,12.125,"(48, 10)"
769,-90.875,12.375,"(49, 10)"
770,-90.875,12.625,"(50, 10)"
771,-90.875,12.875,"(51, 10)"
772,-90.875,13.125,"(52, 10)"
773,-90.875,13.375,"(53, 10)"
774,-90.875,13.625,"(54, 10)"
775,-90.875,13.875,"(55, 10)"
776,-90.875,14.125,"(56, 10)"
777,-90.875,14.375,"(57, 10)"
778,-90.875,14.625,"(58, 10)"
779,-90.875,14.875,"(59, 10)"
780,-90.875,15.125,"(60, 10)"
781,-90.875,15.375,"(61, 10)"
782,-90.875,15.625,"(62, 10)"
783,-90.875,15.875,"(63, 10)"
784,-90.875,16.125,"(64, 10)"
785,-90.875,16.375,"(65, 10)"
786,-90.875,16.625,"(66, 10)"
787,-90.875,16.875,"(67, 10)"
788,-90.875,17.125,"(68, 10)"
789,-90.875,17.375,"(69, 10)"
790,-90.875,17.625,"(70, 10)"
791,-90.875,17.875,"(71, 10)"
792,-90.625,0.125,"(0, 11)"
793,-90.625,0.375,"(1, 11)"
794,-90.625,0.625,"(2, 11)"
795,-90.625,0.875,"(3, 11)"
796,-90.625,1.125,"(4, 11)"
797,-90.625,1.375,"(5, 11)"
798,-90.625,1.625,"(6, 11)"
799,-90.625,1.875,"(7, 11)"
800,-90.625,2.125,"(8, 11)"
801,-90.625,2.375,"(9, 11)"
802,-90.625,2.625,"(10, 11)"
803,-90.625,2.875,"(11, 11)"
804,-90.625,3.125,"(12, 11)"
805,-90.625,3.375,"(13, 11)"
806,-90.625,3.625,"(14, 11)"
807,-90.625,3.875,"(15, 11)"
808,-90.625,4.125,"(16, 11)"
809,-90.625,4.375,"(17, 11)"
810,-90.625,4.625,"(18, 11)"
811,-90.625,4.875,"(19, 11)"
812,-90.625,5.125,"(20, 11)"
813,-90.625,5.375,"(21, 11)"
814,-90.625,5.625,"(22, 11)"
815,-90.625,5.875,"(23, 11)"
816,-90.625,6.125,"(24, 11)"
817,-90.625,6.375,"(25, 11)"
818,-90.625,6.625,"(26, 11)"
819,-90.625,6.875,"(27, 11)"
820,-90.625,7.125,"(28, 11)"
821,-90.625,7.375,"(29, 11)"
822,-90.625,7.625,"(30, 11)"
823,-90.625,7.875,"(31, 11)"
824,-90.625,8.125,"(32, 11)"
825,-90.625,8.375,"(33, 11)"
826,-90.625,8.625,"(34, 11)"
827,-90.625,8.875,"(35, 11)"
828,-90.625,9.125,"(36, 11)"
829,-90.625,9.375,"(37, 11)"
830,-90.625,9.625,"(38, 11)"
831,-90.625,9.875,"(39, 11)"
832,-90.625,10.125,"(40, 11)"
833,-90.625,10.375,"(41, 11)"
834,-90.625,10.625,"(42, 11)"
835,-90.625,10.875,"(43, 11)"
836,-90.625,11.125,"(44, 11)"
837,-90.625,11.375,"(45, 11)"
838,-90.625,11.625,"(46, 11)"
839,-90.625,11.875,"(47, 11)"
840,-90.625,12.125,"(48, 11)"
841,-90.625,12.375,"(49, 11)"
842,-90.625,12.625,"(50, 11)"
843,-90.625,12.875,"(51, 11)"
844,-90.625,13.125,"(52, 11)"
845,-90.625,13.375,"(53, 11)"
846,-90.625,13.625,"(54, 11)"
847,-90.625,13.875,"(55, 11)"
848,-90.625,14.125,"(56, 11)"
849,-90.625,14.375,"(57, 11)"
850,-90.625,14.625,"(58, 11)"
851,-90.625,14.875,"(59, 11)"
852,-90.625,15.125,"(60, 11)"
853,-90.625,15.375,"(61, 11)"
854,-90.625,15.625,"(62, 11)"
855,-90.625,15.875,"(63, 11)"
856,-90.625,16.125,"(64, 11)"
857,-90.625,16.375,"(65, 11)"
858,-90.625,16.625,"(66, 11)"
859,-90.625,16.875,"(67, 11)"
860,-90.625,17.125,"(68, 11)"
861,-90.625,17.375,"(69, 11)"
862,-90.625,17.625,"(70, 11)"
863,-90.625,17.875,"(71, 11)"
864,-90.375,0.125,"(0, 12)"
865,-90.375,0.375,"(1, 12)"
866,-90.375,0.625,"(2, 12)"
867,-90.375,0.875,"(3, 12)"
868,-90.375,1.125,"(4, 12)"
869,-90.375,1.375,"(5, 12)"
870,-90.375,1.625,"(6, 12)"
871,-90.375,1.875,"(7, 12)"
872,-90.375,2.125,"(8, 12)"
873,-90.375,2.375,"(9, 12)"
874,-90.375,2.625,"(10, 12)"
875,-90.375,2.875,"(11, 12)"
876,-90.375,3.125,"(12, 12)"
877,-90.375,3.375,"(13, 12)"
878,-90.375,3.625,"(14, 12)"
879,-90.375,3.875,"(15, 12)"
880,-90.375,4.125,"(16, 12)"
881,-90.375,4.375,"(17, 12)"
882,-90.375,4.625,"(18, 12)"
883,-90.375,4.875,"(19, 12)"
884,-90.375,5.125,"(20, 12)"
885,-90.375,5.375,"(21, 12)"
886,-90.375,5.625,"(22, 12)"
887,-90.375,5.875,"(23, 12)"
888,-90.375,6.125,"(24, 12)"
889,-90.375,6.375,"(25, 12)"
890,-90.375,6.625,"(26, 12)"
891,-90.375,6.875,"(27, 12)"
892,-90.375,7.125,"(28, 12)"
893,-90.375,7.375,"(29, 12)"
894,-90.375,7.625,"(30, 12)"
895,-90.375,7.875,"(31, 12)"
896,-90.375,8.125,"(32, 12)"
897,-90.375,8.375,"(33, 12)"
898,-90.375,8.625,"(34, 12)"
899,-90.375,8.875,"(35, 12)"
900,-90.375,9.125,"(36, 12)"
901,-90.375,9.375,"(37, 12)"
902,-90.375,9.625,"(38, 12)"
903,-90.375,9.875,"(39, 12)"
904,-90.375,10.125,"(40, 12)"
905,-90.375,10.375,"(41, 12)"
906,-90.375,10.625,"(42, 12)"
907,-90.375,10.875,"(43, 12)"
908,-90.375,11.125,"(44, 12)"
909,-90.375,11.375,"(45, 12)"
910,-90.375,11.625,"(46, 12)"
911,-90.375,11.875,"(47, 12)"
912,-90.375,12.125,"(48, 12)"
913,-90.375,12.375,"(49, 12)"
914,-90.375,12.625,"(50, 12)"
915,-90.375,12.875,"(51, 12)"
916,-90.375,13.125,"(52, 12)"
917,-90.375,13.375,"(53, 12)"
918,-90.375,13.625,"(54, 12)"
919,-90.375,13.875,"(55, 12)"
920,-90.375,14.125,"(56, 12)"
921,-90.375,14.375,"(57, 12)"
922,-90.375,14.625,"(58, 12)"
923,-90.375,14.875,"(59, 12)"
924,-90.375,15.125,"(60, 12)"
925,-90.375,15.375,"(61, 12)"
926,-90.375,15.625,"(62, 12)"
927,-90.375,15.875,"(63, 12)"
928,-90.375,16.125,"(64, 12)"
929,-90.375,16.375,"(65, 12)"
930,-90.375,16.625,"(66, 12)"
931,-90.375,16.875,"(67, 12)"
932,-90.375,17.125,"(68, 12)"
933,-90.375,17.375,"(69, 12)"
934,-90.375,17.625,"(70, 12)"
935,-90.375,17.875,"(71, 12)"
936,-90.125,0.125,"(0, 13)"
937,-90.125,0.375,"(1, 13)"
938,-90.125,0.625,"(2, 13)"
939,-90.125,0.875,"(3, 13)"
940,-90.125,1.125,"(4, 13)"
941,-90.125,1.375,"(5, 13)"
942,-90.125,1.625,"(6, 13)"
943,-90.125,1.875,"(7, 13)"
944,-90.125,2.125,"(8, 13)"
945,-90.125,2.375,"(9, 13)"
946,-90.125,2.625,"(10, 13)"
947,-90.125,2.875,"(11, 13)"
948,-90.125,3.125,"(12, 13)"
949,-90.125,3.375,"(13, 13)"
950,-90.125,3.625,"(14, 13)"
951,-90.125,3.875,"(15, 13)"
952,-90.125,4.125,"(16, 13)"
953,-90.125,4.375,"(17, 13)"
954,-90.125,4.625,"(18, 13)"
955,-90.125,4.875,"(19, 13)"
956,-90.125,5.125,"(20, 13)"
957,-90.125,5.375,"(21, 13)"
958,-90.125,5.625,"(22, 13)"
959,-90.125,5.875,"(23, 13)"
960,-90.125,6.125,"(24, 13)"
961,-90.125,6.375,"(25, 13)"
962,-90.125,6.625,"(26, 13)"
963,-90.125,6.875,"(27, 13)"
964,-90.125,7.125,"(28, 13)"
965,-90.125,7.375,"(29, 13)"
966,-90.125,7.625,"(30, 13)"
967,-90.125,7.875,"(31, 13)"
968,-90.125,8.125,"(32, 13)"
969,-90.125,8.375,"(33, 13)"
970,-90.125,8.625,"(34, 13)"
971,-90.125,8.875,"(35, 13)"
972,-90.125,9.125,"(36, 13)"
973,-90.125,9.375,"(37, 13)"
974,-90.125,9.625,"(38, 13)"
975,-90.125,9.875,"(39, 13)"
976,-90.125,10.125,"(40, 13)"
977,-90.125,10.375,"(41, 13)"
978,-90.125,10.625,"(42, 13)"
979,-90.125,10.875,"(43, 13)"
980,-90.125,11.125,"(44, 13)"
981,-90.125,11.375,"(45, 13)"
982,-90.125,11.625,"(46, 13)"
983,-90.125,11.875,"(47, 13)"
984,-90.125,12.125,"(48, 13)"
985,-90.125,12.375,"(49, 13)"
986,-90.125,12.625,"(50, 13)"
987,-90.125,12.875,"(51, 13)"
988,-90.125,13.125,"(52, 13)"
989,-90.125,13.375,"(53, 13)"
990,-90.125,13.625,"(54, 13)"
991,-90.125,13.875,"(55, 13)"
992,-90.125,14.125,"(56, 13)"
993,-90.125,14.375,"(57, 13)"
994,-90.125,14.625,"(58, 13)"
995,-90.125,14.875,"(59, 13)"
996,-90.125,15.125,"(60, 13)"
997,-90.125,15.375,"(61, 13)"
998,-90.125,15.625,"(62, 13)"
999,-90.125,15.875,"(63, 13)"
1000,-90.125,16.125,"(64, 13)"
1001,-90.125,16.375,"(65, 13)"
1002,-90.125,16.625,"(66, 13)"
1003,-90.125,16.875,"(67, 13)"
1004,-90.125,17.125,"(68, 13)"
1005,-90.125,17.375,"(69, 13)"
1006,-90.125,17.625,"(70, 13)"
1007,-90.125,17.875,"(71, 13)"
1008,-89.875,0.125,"(0, 14)"
1009,-89.875,0.375,"(1, 14)"
1010,-89.875,0.625,"(2, 14)"
1011,-89.875,0.875,"(3, 14)"
1012,-89.875,1.125,"(4, 14)"
1013,-89.875,1.375,"(5, 14)"
1014,-89.875,1.625,"(6, 14)"
1015,-89.875,1.875,"(7, 14)"
1016,-89.875,2.125,"(8, 14)"
1017,-89.875,2.375,"(9, 14)"
1018,-89.875,2.625,"(10, 14)"
1019,-89.875,2.875,"(11, 14)"
1020,-89.875,3.125,"(12, 14)"
1021,-89.875,3.375,"(13, 14)"
1022,-89.875,3.625,"(14, 14)"
1023,-89.875,3.875,"(15, 14)"
1024,-89.875,4.125,"(16, 14)"
1025,-89.875,4.375,"(17, 14)"
1026,-89.875,4.625,"(18, 14)"
1027,-89.875,4.875,"(19, 14)"
1028,-89.875,5.125,"(20, 14)"
1029,-89.875,5.375,"(21, 14)"
1030,-89.875,5.625,"(22, 14)"
1031,-89.875,5.875,"(23, 14)"
1032,-89.875,6.125,"(24, 14)"
1033,-89.875,6.375,"(25, 14)"
1034,-89.875,6.625,"(26, 14)"
1035,-89.875,6.875,"(27, 14)"
1036,-89.875,7.125,"(28, 14)"
1037,-89.875,7.375,"(29, 14)"
1038,-89.875,7.625,"(30, 14)"
1039,-89.875,7.875,"(31, 14)"
1040,-89.875,8.125,"(32, 14)"
1041,-89.875,8.375,"(33, 14)"
1042,-89.875,8.625,"(34, 14)"
1043,-89.875,8.875,"(35, 14)"
1044,-89.875,9.125,"(36, 14)"
1045,-89.875,9.375,"(37, 14)"
1046,-89.875,9.625,"(38, 14)"
1047,-89.875,9.875,"(39, 14)"
1048,-89.875,10.125,"(40, 14)"
1049,-89.875,10.375,"(41, 14)"
1050,-89.875,10.625,"(42, 14)"
1051,-89.875,10.875,"(43, 14)"
1052,-89.875,11.125,"(44, 14)"
1053,-89.875,11.375,"(45, 14)"
1054,-89.875,11.625,"(46, 14)"
1055,-89.875,11.875,"(47, 14)"
1056,-89.875,12.125,"(48, 14)"
1057,-89.875,12.375,"(49, 14)"
1058,-89.875,12.625,"(50, 14)"
1059,-89.875,12.875,"(51, 14)"
1060,-89.875,13.125,"(52, 14)"
1061,-89.875,13.375,"(53, 14)"
1062,-89.875,13.625,"(54, 14)"
1063,-89.875,13.875,"(55, 14)"
1064,-89.875,14.125,"(56, 14)"
1065,-89.875,14.375,"(57, 14)"
1066,-89.875,14.625,"(58, 14)"
1067,-89.875,14.875,"(59, 14)"
1068,-89.875,15.125,"(60, 14)"
1069,-89.875,15.375,"(61, 14)"
1070,-89.875,15.625,"(62, 14)"
1071,-89.875,15.875,"(63, 14)"
1072,-89.875,16.125,"(64, 14)"
1073,-89.875,16.375,"(65, 14)"
1074,-89.875,16.625,"(66, 14)"
1075,-89.875,16.875,"(67, 14)"
1076,-89.875,17.125,"(68, 14)"
1077,-89.875,17.375,"(69, 14)"
1078,-89.875,17.625,"(70, 14)"
1079,-89.875,17.875,"(71, 14)"
1080,-89.625,0.125,"(0, 15)"
1081,-89.625,0.375,"(1, 15)"
1082,-89.625,0.625,"(2, 15)"
1083,-89.625,0.875,"(3, 15)"
1084,-89.625,1.125,"(4, 15)"
1085,-89.625,1.375,"(5, 15)"
1086,-89.625,1.625,"(6, 15)"
1087,-89.625,1.875,"(7, 15)"
1088,-89.625,2.125,"(8, 15)"
1089,-89.625,2.375,"(9, 15)"
1090,-89.625,2.625,"(10, 15)"
1091,-89.625,2.875,"(11, 15)"
1092,-89.625,3.125,"(12, 15)"
1093,-89.625,3.375,"(13, 15)"
1094,-89.625,3.625,"(14, 15)"
1095,-89.625,3.875,"(15, 15)"
1096,-89.625,4.125,"(16, 15)"
1097,-89.625,4.375,"(17, 15)"
1098,-89.625,4.625,"(18, 15)"
1099,-89.625,4.875,"(19, 15)"
1100,-89.625,5.125,"(20, 15)"
1101,-89.625,5.375,"(21, 15)"
1102,-89.625,5.625,"(22, 15)"
1103,-89.625,5.875,"(23, 15)"
1104,-89.625,6.125,"(24, 15)"
1105,-89.625,6.375,"(25, 15)"
1106,-89.625,6.625,"(26, 15)"
1107,-89.625,6.875,"(27, 15)"
1108,-89.625,7.125,"(28, 15)"
1109,-89.625,7.375,"(29, 15)"
1110,-89.625,7.625,"(30, 15)"
1111,-89.625,7.875,"(31, 15)"
1112,-89.625,8.125,"(32, 15)"
1113,-89.625,8.375,"(33, 15)"
1114,-89.625,8.625,"(34, 15)"
1115,-89.625,8.875,"(35, 15)"
1116,-89.625,9.125,"(36, 15)"
1117,-89.625,9.375,"(37, 15)"
1118,-89.625,9.625,"(38, 15)"
1119,-89.625,9.875,"(39, 15)"
1120,-89.625,10.125,"(40, 15)"
1121,-89.625,10.375,"(41, 15)"
1122,-89.625,10.625,"(42, 15)"
1123,-89.625,10.875,"(43, 15)"
1124,-89.625,11.125,"(44, 15)"
1125,-89.625,11.375,"(45, 15)"
1126,-89.625,11.625,"(46, 15)"
1127,-89.625,11.875,"(47, 15)"
1128,-89.625,12.125,"(48, 15)"
1129,-89.625,12.375,"(49, 15)"
1130,-89.625,12.625,"(50, 15)"
1131,-89.625,12.875,"(51, 15)"
1132,-89.625,13.125,"(52, 15)"
1133,-89.625,13.375,"(53, 15)"
1134,-89.625,13.625,"(54, 15)"
1135,-89.625,13.875,"(55, 15)"
1136,-89.625,14.125,"(56, 15)"
1137,-89.625,14.375,"(57, 15)"
1138,-89.625,14.625,"(58, 15)"
1139,-89.625,14.875,"(59, 15)"
1140,-89.625,15.125,"(60, 15)"
1141,-89.625,15.375,"(61, 15)"
1142,-89.625,15.625,"(62, 15)"
1143,-89.625,15.875,"(63, 15)"
1144,-89.625,16.125,"(64, 15)"
1145,-89.625,16.375,"(65, 15)"
1146,-89.625,16.625,"(66, 15)"
1147,-89.625,16.875,"(67, 15)"
1148,-89.625,17.125,"(68, 15)"
1149,-89.625,17.375,"(69, 15)"
1150,-89.625,17.625,"(70, 15)"
1151,-89.625,17.875,"(71, 15)"
1152,-89.375,0.125,"(0, 16)"
1153,-89.375,0.375,"(1, 16)"
1154,-89.375,0.625,"(2, 16)"
1155,-89.375,0.875,"(3, 16)"
1156,-89.375,1.125,"(4, 16)"
1157,-89.375,1.375,"(5, 16)"
1158,-89.375,1.625,"(6, 16)"
1159,-89.375,1.875,"(7, 16)"
1160,-89.375,2.125,"(8, 16)"
1161,-89.375,2.375,"(9, 16)"
1162,-89.375,2.625,"(10, 16)"
1163,-89.375,2.875,"(11, 16)"
1164,-89.375,3.125,"(12, 16)"
1165,-89.375,3.375,"(13, 16)"
1166,-89.375,3.625,"(14, 16)"
1167,-89.375,3.875,"(15, 16)"
1168,-89.375,4.125,"(16, 16)"
1169,-89.375,4.375,"(17, 16)"
1170,-89.375,4.625,"(18, 16)"
1171,-89.375,4.875,"(19, 16)"
1172,-89.375,5.125,"(20, 16)"
1173,-89.375,5.375,"(21, 16)"
1174,-89.375,5.625,"(22, 16)"
1175,-89.375,5.875,"(23, 16)"
1176,-89.375,6.125,"(24, 16)"
1177,-89.375,6.375,"(25, 16)"
1178,-89.375,6.625,"(26, 16)"
1179,-89.375,6.875,"(27, 16)"
1180,-89.375,7.125,"(28, 16)"
1181,-89.375,7.375,"(29, 16)"
1182,-89.375,7.625,"(30, 16)"
1183,-89.375,7.875,"(31, 16)"
1184,-89.375,8.125,"(32, 16)"
1185,-89.375,8.375,"(33, 16)"
1186,-89.375,8.625,"(34, 16)"
1187,-89.375,8.875,"(35, 16)"
1188,-89.375,9.125,"(36, 16)"
1189,-89.375,9.375,"(37, 16)"
1190,-89.375,9.625,"(38, 16)"
1191,-89.375,9.875,"(39, 16)"
1192,-89.375,10.125,"(40, 16)"
1193,-89.375,10.375,"(41, 16)"
1194,-89.375,10.625,"(42, 16)"
1195,-89.375,10.875,"(43, 16)"
1196,-89.375,11.125,"(44, 16)"
1197,-89.375,11.375,"(45, 16)"
1198,-89.375,11.625,"(46, 16)"
1199,-89.375,11.875,"(47, 16)"
1200,-89.375,12.125,"(48, 16)"
1201,-89.375,12.375,"(49, 16)"
1202,-89.375,12.625,"(50, 16)"
1203,-89.375,12.875,"(51, 16)"
1204,-89.375,13.125,"(52, 16)"
1205,-89.375,13.375,"(53, 16)"
1206,-89.375,13.625,"(54, 16)"
1207,-89.375,13.875,"(55, 16)"
1208,-89.375,14.125,"(56, 16)"
1209,-89.375,14.375,"(57, 16)"
1210,-89.375,14.625,"(58, 16)"
1211,-89.375,14.875,"(59, 16)"
1212,-89.375,15.125,"(60, 16)"
1213,-89.375,15.375,"(61, 16)"
1214,-89.375,15.625,"(62, 16)"
1215,-89.375,15.875,"(63, 16)"
1216,-89.375,16.125,"(64, 16)"
1217,-89.375,16.375,"(65, 16)"
1218,-89.375,16.625,"(66, 16)"
1219,-89.375,16.875,"(67, 16)"
1220,-89.375,17.125,"(68, 16)"
1221,-89.375,17.375,"(69, 16)"
1222,-89.375,17.625,"(70, 16)"
1223,-89.375,17.875,"(71, 16)"
1224,-89.125,0.125,"(0, 17)"
1225,-89.125,0.375,"(1, 17)"
1226,-89.125,0.625,"(2, 17)"
1227,-89.125,0.875,"(3, 17)"
1228,-89.125,1.125,"(4, 17)"
1229,-89.125,1.375,"(5, 17)"
1230,-89.125,1.625,"(6, 17)"
1231,-89.125,1.875,"(7, 17)"
1232,-89.125,2.125,"(8, 17)"
1233,-89.125,2.375,"(9, 17)"
1234,-89.125,2.625,"(10, 17)"
1235,-89.125,2.875,"(11, 17)"
1236,-89.125,3.125,"(12, 17)"
1237,-89.125,3.375,"(13, 17)"
1238,-89.125,3.625,"(14, 17)"
1239,-89.125,3.875,"(15, 17)"
1240,-89.125,4.125,"(16, 17)"
1241,-89.125,4.375,"(17, 17)"
1242,-89.125,4.625,"(18, 17)"
1243,-89.125,4.875,"(19, 17)"
1244,-89.125,5.125,"(20, 17)"
1245,-89.125,5.375,"(21, 17)"
1246,-89.125,5.625,"(22, 17)"
1247,-89.125,5.875,"(23, 17)"
1248,-89.125,6.125,"(24, 17)"
1249,-89.125,6.375,"(25, 17)"
1250,-89.125,6.625,"(26, 17)"
1251,-89.125,6.875,"(27, 17)"
1252,-89.125,7.125,"(28, 17)"
1253,-89.125,7.375,"(29, 17)"
1254,-89.125,7.625,"(30, 17)"
1255,-89.125,7.875,"(31, 17)"
1256,-89.125,8.125,"(32, 17)"
1257,-89.125,8.375,"(33, 17)"
1258,-89.125,8.625,"(34, 17)"
1259,-89.125,8.875,"(35, 17)"
1260,-89.125,9.125,"(36, 17)"
1261,-89.125,9.375,"(37, 17)"
1262,-89.125,9.625,"(38, 17)"
1263,-89.125,9.875,"(39, 17)"
1264,-89.125,10.125,"(40, 17)"
1265,-89.125,10.375,"(41, 17)"
1266,-89.125,10.625,"(42, 17)"
1267,-89.125,10.875,"(43, 17)"
1268,-89.125,11.125,"(44, 17)"
1269,-89.125,11.375,"(45, 17)"
1270,-89.125,11.625,"(46, 17)"
1271,-89.125,11.875,"(47, 17)"
1272,-89.125,12.125,"(48, 17)"
1273,-89.125,12.375,"(49, 17)"
1274,-89.125,12.625,"(50, 17)"
1275,-89.125,12.875,"(51, 17)"
1276,-89.125,13.125,"(52, 17)"
1277,-89.125,13.375,"(53, 17)"
1278,-89.125,13.625,"(54, 17)"
1279,-89.125,13.875,"(55, 17)"
1280,-89.125,14.125,"(56, 17)"
1281,-89.125,14.375,"(57, 17)"
1282,-89.125,14.625,"(58, 17)"
1283,-89.125,14.875,"(59, 17)"
1284,-89.125,15.125,"(60, 17)"
1285,-89.125,15.375,"(61, 17)"
1286,-89.125,15.625,"(62, 17)"
1287,-89.125,15.875,"(63, 17)"
1288,-89.125,16.125,"(64, 17)"
1289,-89.125,16.375,"(65, 17)"
1290,-89.125,16.625,"(66, 17)"
1291,-89.125,16.875,"(67, 17)"
1292,-89.125,17.125,"(68, 17)"
1293,-89.125,17.375,"(69, 17)"
1294,-89.125,17.625,"(70, 17)"
1295,-89.125,17.875,"(71, 17)"
1296,-88.875,0.125,"(0, 18)"
1297,-88.875,0.375,"(1, 18)"
1298,-88.875,0.625,"(2, 18)"
1299,-88.875,0.875,"(3, 18)"
1300,-88.875,1.125,"(4, 18)"
1301,-88.875,1.375,"(5, 18)"
1302,-88.875,1.625,"(6, 18)"
1303,-88.875,1.875,"(7, 18)"
1304,-88.875,2.125,"(8, 18)"
1305,-88.875,2.375,"(9, 18)"
1306,-88.875,2.625,"(10, 18)"
1307,-88.875,2.875,"(11, 18)"
1308,-88.875,3.125,"(12, 18)"
1309,-88.875,3.375,"(13, 18)"
1310,-88.875,3.625,"(14, 18)"
1311,-88.875,3.875,"(15, 18)"
1312,-88.875,4.125,"(16, 18)"
1313,-88.875,4.375,"(17, 18)"
1314,-88.875,4.625,"(18, 18)"
1315,-88.875,4.875,"(19, 18)"
1316,-88.875,5.125,"(20, 18)"
1317,-88.875,5.375,"(21, 18)"
1318,-88.875,5.625,"(22, 18)"
1319,-88.875,5.875,"(23, 18)"
1320,-88.875,6.125,"(24, 18)"
1321,-88.875,6.375,"(25, 18)"
1322,-88.875,6.625,"(26, 18)"
1323,-88.875,6.875,"(27, 18)"
1324,-88.875,7.125,"(28, 18)"
1325,-88.875,7.375,"(29, 18)"
1326,-88.875,7.625,"(30, 18)"
1327,-88.875,7.875,"(31, 18)"
1328,-88.875,8.125,"(32, 18)"
1329,-88.875,8.375,"(33, 18)"
1330,-88.875,8.625,"(34, 18)"
1331,-88.875,8.875,"(35, 18)"
1332,-88.875,9.125,"(36, 18)"
1333,-88.875,9.375,"(37, 18)"
1334,-88.875,9.625,"(38, 18)"
1335,-88.875,9.875,"(39, 18)"
1336,-88.875,10.125,"(40, 18)"
1337,-88.875,10.375,"(41, 18)"
1338,-88.875,10.625,"(42, 18)"
1339,-88.875,10.875,"(43, 18)"
1340,-88.875,11.125,"(44, 18)"
1341,-88.875,11.375,"(45, 18)"
1342,-88.875,11.625,"(46, 18)"
1343,-88.875,11.875,"(47, 18)"
1344,-88.875,12.125,"(48, 18)"
1345,-88.875,12.375,"(49, 18)"
1346,-88.875,12.625,"(50, 18)"
1347,-88.875,12.875,"(51, 18)"
1348,-88.875,13.125,"(52, 18)"
1349,-88.875,13.375,"(53, 18)"
1350,-88.875,13.625,"(54, 18)"
1351,-88.875,13.875,"(55, 18)"
1352,-88.875,14.125,"(56, 18)"
1353,-88.875,14.375,"(57, 18)"
1354,-88.875,14.625,"(58, 18)"
1355,-88.875,14.875,"(59, 18)"
1356,-88.875,15.125,"(60, 18)"
1357,-88.875,15.375,"(61, 18)"
1358,-88.875,15.625,"(62, 18)"
1359,-88.875,15.875,"(63, 18)"
1360,-88.875,16.125,"(64, 18)"
1361,-88.875,16.375,"(65, 18)"
1362,-88.875,16.625,"(66, 18)"
1363,-88.875,16.875,"(67, 18)"
1364,-88.875,17.125,"(68, 18)"
1365,-88.875,17.375,"(69, 18)"
1366,-88.875,17.625,"(70, 18)"
1367,-88.875,17.875,"(71, 18)"
1368,-88.625,0.125,"(0, 19)"
1369,-88.625,0.375,"(1, 19)"
1370,-88.625,0.625,"(2, 19)"
1371,-88.625,0.875,"(3, 19)"
1372,-88.625,1.125,"(4, 19)"
1373,-88.625,1.375,"(5, 19)"
1374,-88.625,1.625,"(6, 19)"
