,Lon,Lat,grid_coords
159,-92.875,3.875,"(15, 2)"
160,-92.875,4.125,"(16, 2)"
161,-92.875,4.375,"(17, 2)"
162,-92.875,4.625,"(18, 2)"
163,-92.875,4.875,"(19, 2)"
164,-92.875,5.125,"(20, 2)"
165,-92.875,5.375,"(21, 2)"
166,-92.875,5.625,"(22, 2)"
167,-92.875,5.875,"(23, 2)"
168,-92.875,6.125,"(24, 2)"
169,-92.875,6.375,"(25, 2)"
170,-92.875,6.625,"(26, 2)"
171,-92.875,6.875,"(27, 2)"
172,-92.875,7.125,"(28, 2)"
173,-92.875,7.375,"(29, 2)"
174,-92.875,7.625,"(30, 2)"
175,-92.875,7.875,"(31, 2)"
176,-92.875,8.125,"(32, 2)"
177,-92.875,8.375,"(33, 2)"
178,-92.875,8.625,"(34, 2)"
179,-92.875,8.875,"(35, 2)"
180,-92.875,9.125,"(36, 2)"
181,-92.875,9.375,"(37, 2)"
182,-92.875,9.625,"(38, 2)"
183,-92.875,9.875,"(39, 2)"
184,-92.875,10.125,"(40, 2)"
185,-92.875,10.375,"(41, 2)"
186,-92.875,10.625,"(42, 2)"
187,-92.875,10.875,"(43, 2)"
188,-92.875,11.125,"(44, 2)"
189,-92.875,11.375,"(45, 2)"
190,-92.875,11.625,"(46, 2)"
191,-92.875,11.875,"(47, 2)"
192,-92.875,12.125,"(48, 2)"
193,-92.875,12.375,"(49, 2)"
194,-92.875,12.625,"(50, 2)"
195,-92.875,12.875,"(51, 2)"
196,-92.875,13.125,"(52, 2)"
197,-92.875,13.375,"(53, 2)"
198,-92.875,13.625,"(54, 2)"
199,-92.875,13.875,"(55, 2)"
200,-92.875,14.125,"(56, 2)"
201,-92.875,14.375,"(57, 2)"
202,-92.875,14.625,"(58, 2)"
203,-92.875,14.875,"(59, 2)"
204,-92.875,15.125,"(60, 2)"
205,-92.875,15.375,"(61, 2)"
206,-92.875,15.625,"(62, 2)"
207,-92.875,15.875,"(63, 2)"
208,-92.875,16.125,"(64, 2)"
209,-92.875,16.375,"(65, 2)"
