idx,Longitude,Latitude
1,-86.375,10.125
1,-86.625,7.625
1,-86.125,9.625
1,-85.625,16.125
1,-86.125,7.125
1,-85.625,9.375
1,-85.375,8.125
1,-84.625,7.875
1,-84.875,3.375
1,-84.625,2.875
1,-84.375,7.375
1,-83.625,0.875
1,-83.625,4.125
1,-83.625,0.375
1,-83.125,3.875
1,-82.625,7.125
1,-82.625,0.625
1,-82.125,12.625
1,-82.375,7.875
1,-81.875,14.875
1,-82.125,9.375
1,-81.875,7.125
1,-82.125,0.875
1,-81.125,17.375
1,-81.375,1.375
1,-81.125,0.125
1,-80.875,2.125
1,-80.375,9.625
1,-80.375,15.375
1,-80.375,3.375
1,-79.875,11.875
1,-80.125,1.125
1,-80.125,1.875
1,-79.625,16.875
1,-79.625,9.875
1,-79.625,10.875
1,-79.625,6.125
1,-79.875,2.625
1,-79.375,13.375
1,-79.375,14.875
1,-79.875,6.625
1,-79.125,11.625
1,-79.375,7.875
1,-79.375,7.625
1,-79.625,1.375
1,-78.875,16.375
1,-78.875,10.625
1,-78.875,10.375
1,-78.375,14.375
1,-78.125,16.375
1,-78.375,10.375
1,-77.625,17.625
1,-77.375,14.375
1,-76.875,16.125
1,-76.875,17.625
1,-77.625,4.125
1,-76.375,14.375
1,-77.125,8.625
1,-76.375,9.625
1,-76.375,16.375
1,-76.375,17.625
1,-76.125,15.375
1,-76.125,13.875
1,-75.875,12.125
1,-76.125,9.625
1,-76.125,9.375
1,-75.875,13.375
1,-75.625,15.375
1,-75.875,12.375
1,-93.375,12.875
1,-93.125,11.125
1,-93.375,8.125
1,-92.625,12.625
1,-92.875,8.875
1,-92.625,10.875
1,-92.875,7.875
1,-91.875,12.625
1,-91.625,9.375
1,-91.875,13.625
1,-91.375,11.875
1,-91.375,12.625
1,-91.375,9.125
1,-90.625,13.625
1,-90.375,11.625
1,-90.125,13.625
1,-90.125,11.375
1,-89.875,13.125
1,-90.125,0.125
1,-89.625,8.875
1,-89.625,7.875
1,-89.125,10.625
1,-89.125,13.125
1,-89.375,4.875
1,-89.125,9.375
1,-88.875,7.375
1,-88.625,13.125
1,-88.375,9.875
1,-88.625,10.375
1,-87.875,17.375
1,-88.125,8.625
1,-88.375,7.375
1,-87.875,16.125
1,-87.875,10.125
1,-87.375,8.625
1,-87.125,16.375
1,-87.375,9.625
1,-86.625,17.875
1,-86.625,17.125
1,-86.375,16.125
1,-86.875,8.625
1,-86.125,16.375
1,-86.375,9.125
1,-86.125,17.625
1,-86.125,5.625
1,-85.875,9.875
1,-85.125,16.875
1,-85.875,8.625
1,-85.125,8.125
1,-85.625,5.625
1,-84.625,9.375
1,-84.625,16.375
