,geometry
873,POINT (-90.375 2.375)
874,POINT (-90.375 2.625)
875,POINT (-90.375 2.875)
876,POINT (-90.375 3.125)
877,POINT (-90.375 3.375)
878,POINT (-90.375 3.625)
879,POINT (-90.375 3.875)
880,POINT (-90.375 4.125)
881,POINT (-90.375 4.375)
882,POINT (-90.375 4.625)
883,POINT (-90.375 4.875)
884,POINT (-90.375 5.125)
885,POINT (-90.375 5.375)
886,POINT (-90.375 5.625)
887,POINT (-90.375 5.875)
888,POINT (-90.375 6.125)
889,POINT (-90.375 6.375)
890,POINT (-90.375 6.625)
891,POINT (-90.375 6.875)
892,POINT (-90.375 7.125)
893,POINT (-90.375 7.375)
894,POINT (-90.375 7.625)
895,POINT (-90.375 7.875)
896,POINT (-90.375 8.125)
897,POINT (-90.375 8.375)
898,POINT (-90.375 8.625)
899,POINT (-90.375 8.875)
900,POINT (-90.375 9.125)
901,POINT (-90.375 9.375)
902,POINT (-90.375 9.625)
903,POINT (-90.375 9.875)
904,POINT (-90.375 10.125)
905,POINT (-90.375 10.375)
906,POINT (-90.375 10.625)
907,POINT (-90.375 10.875)
908,POINT (-90.375 11.125)
909,POINT (-90.375 11.375)
910,POINT (-90.375 11.625)
911,POINT (-90.375 11.875)
912,POINT (-90.375 12.125)
913,POINT (-90.375 12.375)
914,POINT (-90.375 12.625)
915,POINT (-90.375 12.875)
916,POINT (-90.375 13.125)
917,POINT (-90.375 13.375)
918,POINT (-90.375 13.625)
919,POINT (-90.375 13.875)
920,POINT (-90.375 14.125)
921,POINT (-90.375 14.375)
922,POINT (-90.375 14.625)
923,POINT (-90.375 14.875)
924,POINT (-90.375 15.125)
925,POINT (-90.375 15.375)
926,POINT (-90.375 15.625)
927,POINT (-90.375 15.875)
928,POINT (-90.375 16.125)
929,POINT (-90.375 16.375)
930,POINT (-90.375 16.625)
931,POINT (-90.375 16.875)
932,POINT (-90.375 17.125)
933,POINT (-90.375 17.375)
934,POINT (-90.375 17.625)
935,POINT (-90.375 17.875)
936,POINT (-90.125 0.125)
937,POINT (-90.125 0.375)
938,POINT (-90.125 0.625)
939,POINT (-90.125 0.875)
940,POINT (-90.125 1.125)
941,POINT (-90.125 1.375)
942,POINT (-90.125 1.625)
943,POINT (-90.125 1.875)
944,POINT (-90.125 2.125)
945,POINT (-90.125 2.375)
946,POINT (-90.125 2.625)
947,POINT (-90.125 2.875)
948,POINT (-90.125 3.125)
949,POINT (-90.125 3.375)
950,POINT (-90.125 3.625)
951,POINT (-90.125 3.875)
952,POINT (-90.125 4.125)
953,POINT (-90.125 4.375)
954,POINT (-90.125 4.625)
955,POINT (-90.125 4.875)
956,POINT (-90.125 5.125)
957,POINT (-90.125 5.375)
958,POINT (-90.125 5.625)
959,POINT (-90.125 5.875)
960,POINT (-90.125 6.125)
961,POINT (-90.125 6.375)
962,POINT (-90.125 6.625)
963,POINT (-90.125 6.875)
964,POINT (-90.125 7.125)
965,POINT (-90.125 7.375)
966,POINT (-90.125 7.625)
967,POINT (-90.125 7.875)
968,POINT (-90.125 8.125)
969,POINT (-90.125 8.375)
970,POINT (-90.125 8.625)
971,POINT (-90.125 8.875)
972,POINT (-90.125 9.125)
973,POINT (-90.125 9.375)
974,POINT (-90.125 9.625)
975,POINT (-90.125 9.875)
976,POINT (-90.125 10.125)
977,POINT (-90.125 10.375)
978,POINT (-90.125 10.625)
979,POINT (-90.125 10.875)
980,POINT (-90.125 11.125)
981,POINT (-90.125 11.375)
982,POINT (-90.125 11.625)
983,POINT (-90.125 11.875)
984,POINT (-90.125 12.125)
985,POINT (-90.125 12.375)
986,POINT (-90.125 12.625)
987,POINT (-90.125 12.875)
988,POINT (-90.125 13.125)
989,POINT (-90.125 13.375)
990,POINT (-90.125 13.625)
991,POINT (-90.125 13.875)
992,POINT (-90.125 14.125)
993,POINT (-90.125 14.375)
994,POINT (-90.125 14.625)
995,POINT (-90.125 14.875)
996,POINT (-90.125 15.125)
997,POINT (-90.125 15.375)
998,POINT (-90.125 15.625)
999,POINT (-90.125 15.875)
1000,POINT (-90.125 16.125)
1001,POINT (-90.125 16.375)
1002,POINT (-90.125 16.625)
1003,POINT (-90.125 16.875)
1004,POINT (-90.125 17.125)
1005,POINT (-90.125 17.375)
1006,POINT (-90.125 17.625)
1007,POINT (-90.125 17.875)
1008,POINT (-89.875 0.125)
1009,POINT (-89.875 0.375)
1010,POINT (-89.875 0.625)
1011,POINT (-89.875 0.875)
1012,POINT (-89.875 1.125)
1013,POINT (-89.875 1.375)
1014,POINT (-89.875 1.625)
1015,POINT (-89.875 1.875)
1016,POINT (-89.875 2.125)
1017,POINT (-89.875 2.375)
1018,POINT (-89.875 2.625)
1019,POINT (-89.875 2.875)
1020,POINT (-89.875 3.125)
1021,POINT (-89.875 3.375)
1022,POINT (-89.875 3.625)
1023,POINT (-89.875 3.875)
1024,POINT (-89.875 4.125)
1025,POINT (-89.875 4.375)
1026,POINT (-89.875 4.625)
1027,POINT (-89.875 4.875)
1028,POINT (-89.875 5.125)
1029,POINT (-89.875 5.375)
1030,POINT (-89.875 5.625)
1031,POINT (-89.875 5.875)
1032,POINT (-89.875 6.125)
1033,POINT (-89.875 6.375)
1034,POINT (-89.875 6.625)
1035,POINT (-89.875 6.875)
1036,POINT (-89.875 7.125)
1037,POINT (-89.875 7.375)
1038,POINT (-89.875 7.625)
1039,POINT (-89.875 7.875)
1040,POINT (-89.875 8.125)
1041,POINT (-89.875 8.375)
1042,POINT (-89.875 8.625)
1043,POINT (-89.875 8.875)
1044,POINT (-89.875 9.125)
1045,POINT (-89.875 9.375)
1046,POINT (-89.875 9.625)
1047,POINT (-89.875 9.875)
1048,POINT (-89.875 10.125)
1049,POINT (-89.875 10.375)
1050,POINT (-89.875 10.625)
1051,POINT (-89.875 10.875)
1052,POINT (-89.875 11.125)
1053,POINT (-89.875 11.375)
1054,POINT (-89.875 11.625)
1055,POINT (-89.875 11.875)
1056,POINT (-89.875 12.125)
1057,POINT (-89.875 12.375)
1058,POINT (-89.875 12.625)
1059,POINT (-89.875 12.875)
1060,POINT (-89.875 13.125)
1061,POINT (-89.875 13.375)
1062,POINT (-89.875 13.625)
1063,POINT (-89.875 13.875)
1064,POINT (-89.875 14.125)
1065,POINT (-89.875 14.375)
1066,POINT (-89.875 14.625)
1067,POINT (-89.875 14.875)
1068,POINT (-89.875 15.125)
1069,POINT (-89.875 15.375)
1070,POINT (-89.875 15.625)
1071,POINT (-89.875 15.875)
1072,POINT (-89.875 16.125)
1073,POINT (-89.875 16.375)
1074,POINT (-89.875 16.625)
1075,POINT (-89.875 16.875)
1076,POINT (-89.875 17.125)
1077,POINT (-89.875 17.375)
1078,POINT (-89.875 17.625)
1079,POINT (-89.875 17.875)
1080,POINT (-89.625 0.125)
1081,POINT (-89.625 0.375)
1082,POINT (-89.625 0.625)
1083,POINT (-89.625 0.875)
1084,POINT (-89.625 1.125)
1085,POINT (-89.625 1.375)
1086,POINT (-89.625 1.625)
1087,POINT (-89.625 1.875)
1088,POINT (-89.625 2.125)
1089,POINT (-89.625 2.375)
1090,POINT (-89.625 2.625)
1091,POINT (-89.625 2.875)
1092,POINT (-89.625 3.125)
1093,POINT (-89.625 3.375)
1094,POINT (-89.625 3.625)
1095,POINT (-89.625 3.875)
1096,POINT (-89.625 4.125)
1097,POINT (-89.625 4.375)
1098,POINT (-89.625 4.625)
1099,POINT (-89.625 4.875)
1100,POINT (-89.625 5.125)
1101,POINT (-89.625 5.375)
1102,POINT (-89.625 5.625)
1103,POINT (-89.625 5.875)
1104,POINT (-89.625 6.125)
1105,POINT (-89.625 6.375)
1106,POINT (-89.625 6.625)
1107,POINT (-89.625 6.875)
1108,POINT (-89.625 7.125)
1109,POINT (-89.625 7.375)
1110,POINT (-89.625 7.625)
1111,POINT (-89.625 7.875)
1112,POINT (-89.625 8.125)
1113,POINT (-89.625 8.375)
1114,POINT (-89.625 8.625)
1115,POINT (-89.625 8.875)
1116,POINT (-89.625 9.125)
1117,POINT (-89.625 9.375)
1118,POINT (-89.625 9.625)
1119,POINT (-89.625 9.875)
1120,POINT (-89.625 10.125)
1121,POINT (-89.625 10.375)
1122,POINT (-89.625 10.625)
1123,POINT (-89.625 10.875)
1124,POINT (-89.625 11.125)
1125,POINT (-89.625 11.375)
1126,POINT (-89.625 11.625)
1127,POINT (-89.625 11.875)
1128,POINT (-89.625 12.125)
1129,POINT (-89.625 12.375)
1130,POINT (-89.625 12.625)
1131,POINT (-89.625 12.875)
1132,POINT (-89.625 13.125)
1133,POINT (-89.625 13.375)
1134,POINT (-89.625 13.625)
1135,POINT (-89.625 13.875)
1136,POINT (-89.625 14.125)
1137,POINT (-89.625 14.375)
1138,POINT (-89.625 14.625)
1139,POINT (-89.625 14.875)
1140,POINT (-89.625 15.125)
1141,POINT (-89.625 15.375)
1142,POINT (-89.625 15.625)
1143,POINT (-89.625 15.875)
1144,POINT (-89.625 16.125)
1145,POINT (-89.625 16.375)
1146,POINT (-89.625 16.625)
1147,POINT (-89.625 16.875)
1148,POINT (-89.625 17.125)
1149,POINT (-89.625 17.375)
1150,POINT (-89.625 17.625)
1151,POINT (-89.625 17.875)
1152,POINT (-89.375 0.125)
1153,POINT (-89.375 0.375)
1154,POINT (-89.375 0.625)
1155,POINT (-89.375 0.875)
1156,POINT (-89.375 1.125)
1157,POINT (-89.375 1.375)
1158,POINT (-89.375 1.625)
1159,POINT (-89.375 1.875)
1160,POINT (-89.375 2.125)
1161,POINT (-89.375 2.375)
1162,POINT (-89.375 2.625)
1163,POINT (-89.375 2.875)
1164,POINT (-89.375 3.125)
1165,POINT (-89.375 3.375)
1166,POINT (-89.375 3.625)
1167,POINT (-89.375 3.875)
1168,POINT (-89.375 4.125)
1169,POINT (-89.375 4.375)
1170,POINT (-89.375 4.625)
1171,POINT (-89.375 4.875)
1172,POINT (-89.375 5.125)
1173,POINT (-89.375 5.375)
1174,POINT (-89.375 5.625)
1175,POINT (-89.375 5.875)
1176,POINT (-89.375 6.125)
1177,POINT (-89.375 6.375)
1178,POINT (-89.375 6.625)
1179,POINT (-89.375 6.875)
1180,POINT (-89.375 7.125)
1181,POINT (-89.375 7.375)
1182,POINT (-89.375 7.625)
1183,POINT (-89.375 7.875)
1184,POINT (-89.375 8.125)
1185,POINT (-89.375 8.375)
1186,POINT (-89.375 8.625)
1187,POINT (-89.375 8.875)
1188,POINT (-89.375 9.125)
1189,POINT (-89.375 9.375)
1190,POINT (-89.375 9.625)
1191,POINT (-89.375 9.875)
1192,POINT (-89.375 10.125)
1193,POINT (-89.375 10.375)
1194,POINT (-89.375 10.625)
1195,POINT (-89.375 10.875)
1196,POINT (-89.375 11.125)
1197,POINT (-89.375 11.375)
1198,POINT (-89.375 11.625)
1199,POINT (-89.375 11.875)
1200,POINT (-89.375 12.125)
1201,POINT (-89.375 12.375)
1202,POINT (-89.375 12.625)
1203,POINT (-89.375 12.875)
1204,POINT (-89.375 13.125)
1205,POINT (-89.375 13.375)
1206,POINT (-89.375 13.625)
1207,POINT (-89.375 13.875)
1208,POINT (-89.375 14.125)
1209,POINT (-89.375 14.375)
1210,POINT (-89.375 14.625)
1211,POINT (-89.375 14.875)
1212,POINT (-89.375 15.125)
1213,POINT (-89.375 15.375)
1214,POINT (-89.375 15.625)
1215,POINT (-89.375 15.875)
1216,POINT (-89.375 16.125)
1217,POINT (-89.375 16.375)
1218,POINT (-89.375 16.625)
1219,POINT (-89.375 16.875)
1220,POINT (-89.375 17.125)
1221,POINT (-89.375 17.375)
1222,POINT (-89.375 17.625)
1223,POINT (-89.375 17.875)
1224,POINT (-89.125 0.125)
1225,POINT (-89.125 0.375)
1226,POINT (-89.125 0.625)
1227,POINT (-89.125 0.875)
1228,POINT (-89.125 1.125)
1229,POINT (-89.125 1.375)
1230,POINT (-89.125 1.625)
1231,POINT (-89.125 1.875)
1232,POINT (-89.125 2.125)
1233,POINT (-89.125 2.375)
1234,POINT (-89.125 2.625)
1235,POINT (-89.125 2.875)
1236,POINT (-89.125 3.125)
1237,POINT (-89.125 3.375)
1238,POINT (-89.125 3.625)
1239,POINT (-89.125 3.875)
1240,POINT (-89.125 4.125)
1241,POINT (-89.125 4.375)
1242,POINT (-89.125 4.625)
1243,POINT (-89.125 4.875)
1244,POINT (-89.125 5.125)
1245,POINT (-89.125 5.375)
1246,POINT (-89.125 5.625)
1247,POINT (-89.125 5.875)
1248,POINT (-89.125 6.125)
1249,POINT (-89.125 6.375)
1250,POINT (-89.125 6.625)
1251,POINT (-89.125 6.875)
1252,POINT (-89.125 7.125)
1253,POINT (-89.125 7.375)
1254,POINT (-89.125 7.625)
1255,POINT (-89.125 7.875)
1256,POINT (-89.125 8.125)
1257,POINT (-89.125 8.375)
1258,POINT (-89.125 8.625)
1259,POINT (-89.125 8.875)
1260,POINT (-89.125 9.125)
1261,POINT (-89.125 9.375)
1262,POINT (-89.125 9.625)
1263,POINT (-89.125 9.875)
1264,POINT (-89.125 10.125)
1265,POINT (-89.125 10.375)
1266,POINT (-89.125 10.625)
1267,POINT (-89.125 10.875)
1268,POINT (-89.125 11.125)
1269,POINT (-89.125 11.375)
1270,POINT (-89.125 11.625)
1271,POINT (-89.125 11.875)
1272,POINT (-89.125 12.125)
1273,POINT (-89.125 12.375)
1274,POINT (-89.125 12.625)
1275,POINT (-89.125 12.875)
1276,POINT (-89.125 13.125)
1277,POINT (-89.125 13.375)
1278,POINT (-89.125 13.625)
1279,POINT (-89.125 13.875)
1280,POINT (-89.125 14.125)
1281,POINT (-89.125 14.375)
1282,POINT (-89.125 14.625)
1283,POINT (-89.125 14.875)
1284,POINT (-89.125 15.125)
1285,POINT (-89.125 15.375)
1286,POINT (-89.125 15.625)
1287,POINT (-89.125 15.875)
1288,POINT (-89.125 16.125)
1289,POINT (-89.125 16.375)
1290,POINT (-89.125 16.625)
1291,POINT (-89.125 16.875)
1292,POINT (-89.125 17.125)
1293,POINT (-89.125 17.375)
1294,POINT (-89.125 17.625)
1295,POINT (-89.125 17.875)
1296,POINT (-88.875 0.125)
1297,POINT (-88.875 0.375)
1298,POINT (-88.875 0.625)
1299,POINT (-88.875 0.875)
1300,POINT (-88.875 1.125)
1301,POINT (-88.875 1.375)
1302,POINT (-88.875 1.625)
1303,POINT (-88.875 1.875)
1304,POINT (-88.875 2.125)
1305,POINT (-88.875 2.375)
1306,POINT (-88.875 2.625)
1307,POINT (-88.875 2.875)
1308,POINT (-88.875 3.125)
1309,POINT (-88.875 3.375)
1310,POINT (-88.875 3.625)
1311,POINT (-88.875 3.875)
1312,POINT (-88.875 4.125)
1313,POINT (-88.875 4.375)
1314,POINT (-88.875 4.625)
1315,POINT (-88.875 4.875)
1316,POINT (-88.875 5.125)
1317,POINT (-88.875 5.375)
1318,POINT (-88.875 5.625)
1319,POINT (-88.875 5.875)
1320,POINT (-88.875 6.125)
1321,POINT (-88.875 6.375)
1322,POINT (-88.875 6.625)
1323,POINT (-88.875 6.875)
1324,POINT (-88.875 7.125)
1325,POINT (-88.875 7.375)
1326,POINT (-88.875 7.625)
1327,POINT (-88.875 7.875)
1328,POINT (-88.875 8.125)
1329,POINT (-88.875 8.375)
1330,POINT (-88.875 8.625)
1331,POINT (-88.875 8.875)
1332,POINT (-88.875 9.125)
1333,POINT (-88.875 9.375)
1334,POINT (-88.875 9.625)
1335,POINT (-88.875 9.875)
1336,POINT (-88.875 10.125)
1337,POINT (-88.875 10.375)
1338,POINT (-88.875 10.625)
1339,POINT (-88.875 10.875)
1340,POINT (-88.875 11.125)
1341,POINT (-88.875 11.375)
1342,POINT (-88.875 11.625)
1343,POINT (-88.875 11.875)
1344,POINT (-88.875 12.125)
1345,POINT (-88.875 12.375)
1346,POINT (-88.875 12.625)
1347,POINT (-88.875 12.875)
1348,POINT (-88.875 13.125)
1349,POINT (-88.875 13.375)
1350,POINT (-88.875 13.625)
1351,POINT (-88.875 13.875)
1352,POINT (-88.875 14.125)
1353,POINT (-88.875 14.375)
1354,POINT (-88.875 14.625)
1355,POINT (-88.875 14.875)
1356,POINT (-88.875 15.125)
1357,POINT (-88.875 15.375)
1358,POINT (-88.875 15.625)
1359,POINT (-88.875 15.875)
1360,POINT (-88.875 16.125)
1361,POINT (-88.875 16.375)
1362,POINT (-88.875 16.625)
1363,POINT (-88.875 16.875)
1364,POINT (-88.875 17.125)
1365,POINT (-88.875 17.375)
1366,POINT (-88.875 17.625)
1367,POINT (-88.875 17.875)
1368,POINT (-88.625 0.125)
1369,POINT (-88.625 0.375)
1370,POINT (-88.625 0.625)
1371,POINT (-88.625 0.875)
1372,POINT (-88.625 1.125)
1373,POINT (-88.625 1.375)
1374,POINT (-88.625 1.625)
1375,POINT (-88.625 1.875)
1376,POINT (-88.625 2.125)
1377,POINT (-88.625 2.375)
1378,POINT (-88.625 2.625)
1379,POINT (-88.625 2.875)
1380,POINT (-88.625 3.125)
1381,POINT (-88.625 3.375)
1382,POINT (-88.625 3.625)
1383,POINT (-88.625 3.875)
1384,POINT (-88.625 4.125)
1385,POINT (-88.625 4.375)
1386,POINT (-88.625 4.625)
1387,POINT (-88.625 4.875)
1388,POINT (-88.625 5.125)
1389,POINT (-88.625 5.375)
1390,POINT (-88.625 5.625)
1391,POINT (-88.625 5.875)
1392,POINT (-88.625 6.125)
1393,POINT (-88.625 6.375)
1394,POINT (-88.625 6.625)
1395,POINT (-88.625 6.875)
1396,POINT (-88.625 7.125)
1397,POINT (-88.625 7.375)
1398,POINT (-88.625 7.625)
1399,POINT (-88.625 7.875)
1400,POINT (-88.625 8.125)
1401,POINT (-88.625 8.375)
1402,POINT (-88.625 8.625)
1403,POINT (-88.625 8.875)
1404,POINT (-88.625 9.125)
1405,POINT (-88.625 9.375)
1406,POINT (-88.625 9.625)
1407,POINT (-88.625 9.875)
1408,POINT (-88.625 10.125)
1409,POINT (-88.625 10.375)
1410,POINT (-88.625 10.625)
1411,POINT (-88.625 10.875)
1412,POINT (-88.625 11.125)
1413,POINT (-88.625 11.375)
1414,POINT (-88.625 11.625)
1415,POINT (-88.625 11.875)
1416,POINT (-88.625 12.125)
1417,POINT (-88.625 12.375)
1418,POINT (-88.625 12.625)
1419,POINT (-88.625 12.875)
1420,POINT (-88.625 13.125)
1421,POINT (-88.625 13.375)
1422,POINT (-88.625 13.625)
1423,POINT (-88.625 13.875)
1424,POINT (-88.625 14.125)
1425,POINT (-88.625 14.375)
1426,POINT (-88.625 14.625)
1427,POINT (-88.625 14.875)
1428,POINT (-88.625 15.125)
1429,POINT (-88.625 15.375)
1430,POINT (-88.625 15.625)
1431,POINT (-88.625 15.875)
1432,POINT (-88.625 16.125)
1433,POINT (-88.625 16.375)
1434,POINT (-88.625 16.625)
1435,POINT (-88.625 16.875)
1436,POINT (-88.625 17.125)
1437,POINT (-88.625 17.375)
1438,POINT (-88.625 17.625)
1439,POINT (-88.625 17.875)
1440,POINT (-88.375 0.125)
1441,POINT (-88.375 0.375)
1442,POINT (-88.375 0.625)
1443,POINT (-88.375 0.875)
1444,POINT (-88.375 1.125)
1445,POINT (-88.375 1.375)
1446,POINT (-88.375 1.625)
1447,POINT (-88.375 1.875)
1448,POINT (-88.375 2.125)
1449,POINT (-88.375 2.375)
1450,POINT (-88.375 2.625)
1451,POINT (-88.375 2.875)
1452,POINT (-88.375 3.125)
1453,POINT (-88.375 3.375)
1454,POINT (-88.375 3.625)
1455,POINT (-88.375 3.875)
1456,POINT (-88.375 4.125)
1457,POINT (-88.375 4.375)
1458,POINT (-88.375 4.625)
1459,POINT (-88.375 4.875)
1460,POINT (-88.375 5.125)
1461,POINT (-88.375 5.375)
1462,POINT (-88.375 5.625)
1463,POINT (-88.375 5.875)
1464,POINT (-88.375 6.125)
1465,POINT (-88.375 6.375)
1466,POINT (-88.375 6.625)
1467,POINT (-88.375 6.875)
1468,POINT (-88.375 7.125)
1469,POINT (-88.375 7.375)
1470,POINT (-88.375 7.625)
1471,POINT (-88.375 7.875)
1472,POINT (-88.375 8.125)
1473,POINT (-88.375 8.375)
1474,POINT (-88.375 8.625)
1475,POINT (-88.375 8.875)
1476,POINT (-88.375 9.125)
1477,POINT (-88.375 9.375)
1478,POINT (-88.375 9.625)
1479,POINT (-88.375 9.875)
1480,POINT (-88.375 10.125)
1481,POINT (-88.375 10.375)
1482,POINT (-88.375 10.625)
1483,POINT (-88.375 10.875)
1484,POINT (-88.375 11.125)
1485,POINT (-88.375 11.375)
1486,POINT (-88.375 11.625)
1487,POINT (-88.375 11.875)
1488,POINT (-88.375 12.125)
1489,POINT (-88.375 12.375)
1490,POINT (-88.375 12.625)
1491,POINT (-88.375 12.875)
1492,POINT (-88.375 13.125)
1493,POINT (-88.375 13.375)
1494,POINT (-88.375 13.625)
1495,POINT (-88.375 13.875)
1496,POINT (-88.375 14.125)
1497,POINT (-88.375 14.375)
1498,POINT (-88.375 14.625)
1499,POINT (-88.375 14.875)
1500,POINT (-88.375 15.125)
1501,POINT (-88.375 15.375)
1502,POINT (-88.375 15.625)
1503,POINT (-88.375 15.875)
1504,POINT (-88.375 16.125)
1505,POINT (-88.375 16.375)
1506,POINT (-88.375 16.625)
1507,POINT (-88.375 16.875)
1508,POINT (-88.375 17.125)
1509,POINT (-88.375 17.375)
1510,POINT (-88.375 17.625)
1511,POINT (-88.375 17.875)
1512,POINT (-88.125 0.125)
1513,POINT (-88.125 0.375)
1514,POINT (-88.125 0.625)
1515,POINT (-88.125 0.875)
1516,POINT (-88.125 1.125)
1517,POINT (-88.125 1.375)
1518,POINT (-88.125 1.625)
1519,POINT (-88.125 1.875)
1520,POINT (-88.125 2.125)
1521,POINT (-88.125 2.375)
1522,POINT (-88.125 2.625)
1523,POINT (-88.125 2.875)
1524,POINT (-88.125 3.125)
1525,POINT (-88.125 3.375)
1526,POINT (-88.125 3.625)
1527,POINT (-88.125 3.875)
1528,POINT (-88.125 4.125)
1529,POINT (-88.125 4.375)
1530,POINT (-88.125 4.625)
1531,POINT (-88.125 4.875)
1532,POINT (-88.125 5.125)
1533,POINT (-88.125 5.375)
1534,POINT (-88.125 5.625)
1535,POINT (-88.125 5.875)
1536,POINT (-88.125 6.125)
1537,POINT (-88.125 6.375)
1538,POINT (-88.125 6.625)
1539,POINT (-88.125 6.875)
1540,POINT (-88.125 7.125)
1541,POINT (-88.125 7.375)
1542,POINT (-88.125 7.625)
1543,POINT (-88.125 7.875)
1544,POINT (-88.125 8.125)
1545,POINT (-88.125 8.375)
1546,POINT (-88.125 8.625)
1547,POINT (-88.125 8.875)
1548,POINT (-88.125 9.125)
1549,POINT (-88.125 9.375)
1550,POINT (-88.125 9.625)
1551,POINT (-88.125 9.875)
1552,POINT (-88.125 10.125)
1553,POINT (-88.125 10.375)
1554,POINT (-88.125 10.625)
1555,POINT (-88.125 10.875)
1556,POINT (-88.125 11.125)
1557,POINT (-88.125 11.375)
1558,POINT (-88.125 11.625)
1559,POINT (-88.125 11.875)
1560,POINT (-88.125 12.125)
1561,POINT (-88.125 12.375)
1562,POINT (-88.125 12.625)
1563,POINT (-88.125 12.875)
1564,POINT (-88.125 13.125)
1565,POINT (-88.125 13.375)
1566,POINT (-88.125 13.625)
1567,POINT (-88.125 13.875)
1568,POINT (-88.125 14.125)
1569,POINT (-88.125 14.375)
1570,POINT (-88.125 14.625)
1571,POINT (-88.125 14.875)
1572,POINT (-88.125 15.125)
1573,POINT (-88.125 15.375)
1574,POINT (-88.125 15.625)
1575,POINT (-88.125 15.875)
1576,POINT (-88.125 16.125)
1577,POINT (-88.125 16.375)
1578,POINT (-88.125 16.625)
1579,POINT (-88.125 16.875)
1580,POINT (-88.125 17.125)
1581,POINT (-88.125 17.375)
1582,POINT (-88.125 17.625)
1583,POINT (-88.125 17.875)
1584,POINT (-87.875 0.125)
1585,POINT (-87.875 0.375)
1586,POINT (-87.875 0.625)
1587,POINT (-87.875 0.875)
1588,POINT (-87.875 1.125)
1589,POINT (-87.875 1.375)
1590,POINT (-87.875 1.625)
1591,POINT (-87.875 1.875)
1592,POINT (-87.875 2.125)
1593,POINT (-87.875 2.375)
1594,POINT (-87.875 2.625)
1595,POINT (-87.875 2.875)
1596,POINT (-87.875 3.125)
1597,POINT (-87.875 3.375)
1598,POINT (-87.875 3.625)
1599,POINT (-87.875 3.875)
1600,POINT (-87.875 4.125)
1601,POINT (-87.875 4.375)
1602,POINT (-87.875 4.625)
1603,POINT (-87.875 4.875)
1604,POINT (-87.875 5.125)
1605,POINT (-87.875 5.375)
1606,POINT (-87.875 5.625)
1607,POINT (-87.875 5.875)
1608,POINT (-87.875 6.125)
1609,POINT (-87.875 6.375)
1610,POINT (-87.875 6.625)
1611,POINT (-87.875 6.875)
1612,POINT (-87.875 7.125)
1613,POINT (-87.875 7.375)
1614,POINT (-87.875 7.625)
1615,POINT (-87.875 7.875)
1616,POINT (-87.875 8.125)
1617,POINT (-87.875 8.375)
1618,POINT (-87.875 8.625)
1619,POINT (-87.875 8.875)
1620,POINT (-87.875 9.125)
1621,POINT (-87.875 9.375)
1622,POINT (-87.875 9.625)
1623,POINT (-87.875 9.875)
1624,POINT (-87.875 10.125)
1625,POINT (-87.875 10.375)
1626,POINT (-87.875 10.625)
1627,POINT (-87.875 10.875)
1628,POINT (-87.875 11.125)
1629,POINT (-87.875 11.375)
1630,POINT (-87.875 11.625)
1631,POINT (-87.875 11.875)
1632,POINT (-87.875 12.125)
1633,POINT (-87.875 12.375)
1634,POINT (-87.875 12.625)
1635,POINT (-87.875 12.875)
1636,POINT (-87.875 13.125)
1637,POINT (-87.875 13.375)
1638,POINT (-87.875 13.625)
1639,POINT (-87.875 13.875)
1640,POINT (-87.875 14.125)
1641,POINT (-87.875 14.375)
1642,POINT (-87.875 14.625)
1643,POINT (-87.875 14.875)
1644,POINT (-87.875 15.125)
1645,POINT (-87.875 15.375)
1646,POINT (-87.875 15.625)
1647,POINT (-87.875 15.875)
1648,POINT (-87.875 16.125)
1649,POINT (-87.875 16.375)
1650,POINT (-87.875 16.625)
1651,POINT (-87.875 16.875)
1652,POINT (-87.875 17.125)
1653,POINT (-87.875 17.375)
1654,POINT (-87.875 17.625)
1655,POINT (-87.875 17.875)
1656,POINT (-87.625 0.125)
1657,POINT (-87.625 0.375)
1658,POINT (-87.625 0.625)
1659,POINT (-87.625 0.875)
1660,POINT (-87.625 1.125)
1661,POINT (-87.625 1.375)
1662,POINT (-87.625 1.625)
1663,POINT (-87.625 1.875)
1664,POINT (-87.625 2.125)
1665,POINT (-87.625 2.375)
1666,POINT (-87.625 2.625)
1667,POINT (-87.625 2.875)
1668,POINT (-87.625 3.125)
1669,POINT (-87.625 3.375)
1670,POINT (-87.625 3.625)
1671,POINT (-87.625 3.875)
1672,POINT (-87.625 4.125)
1673,POINT (-87.625 4.375)
1674,POINT (-87.625 4.625)
1675,POINT (-87.625 4.875)
1676,POINT (-87.625 5.125)
1677,POINT (-87.625 5.375)
1678,POINT (-87.625 5.625)
1679,POINT (-87.625 5.875)
1680,POINT (-87.625 6.125)
1681,POINT (-87.625 6.375)
1682,POINT (-87.625 6.625)
1683,POINT (-87.625 6.875)
1684,POINT (-87.625 7.125)
1685,POINT (-87.625 7.375)
1686,POINT (-87.625 7.625)
1687,POINT (-87.625 7.875)
1688,POINT (-87.625 8.125)
1689,POINT (-87.625 8.375)
1690,POINT (-87.625 8.625)
1691,POINT (-87.625 8.875)
1692,POINT (-87.625 9.125)
1693,POINT (-87.625 9.375)
1694,POINT (-87.625 9.625)
1695,POINT (-87.625 9.875)
1696,POINT (-87.625 10.125)
1697,POINT (-87.625 10.375)
1698,POINT (-87.625 10.625)
1699,POINT (-87.625 10.875)
1700,POINT (-87.625 11.125)
1701,POINT (-87.625 11.375)
1702,POINT (-87.625 11.625)
