,geometry
199,POINT (-92.875 13.875)
200,POINT (-92.875 14.125)
201,POINT (-92.875 14.375)
202,POINT (-92.875 14.625)
203,POINT (-92.875 14.875)
204,POINT (-92.875 15.125)
205,POINT (-92.875 15.375)
206,POINT (-92.875 15.625)
207,POINT (-92.875 15.875)
208,POINT (-92.875 16.125)
209,POINT (-92.875 16.375)
210,POINT (-92.875 16.625)
211,POINT (-92.875 16.875)
212,POINT (-92.875 17.125)
213,POINT (-92.875 17.375)
214,POINT (-92.875 17.625)
215,POINT (-92.875 17.875)
216,POINT (-92.625 0.125)
217,POINT (-92.625 0.375)
218,POINT (-92.625 0.625)
219,POINT (-92.625 0.875)
220,POINT (-92.625 1.125)
221,POINT (-92.625 1.375)
222,POINT (-92.625 1.625)
223,POINT (-92.625 1.875)
224,POINT (-92.625 2.125)
225,POINT (-92.625 2.375)
226,POINT (-92.625 2.625)
227,POINT (-92.625 2.875)
228,POINT (-92.625 3.125)
229,POINT (-92.625 3.375)
230,POINT (-92.625 3.625)
231,POINT (-92.625 3.875)
232,POINT (-92.625 4.125)
233,POINT (-92.625 4.375)
234,POINT (-92.625 4.625)
235,POINT (-92.625 4.875)
236,POINT (-92.625 5.125)
237,POINT (-92.625 5.375)
238,POINT (-92.625 5.625)
239,POINT (-92.625 5.875)
240,POINT (-92.625 6.125)
241,POINT (-92.625 6.375)
242,POINT (-92.625 6.625)
243,POINT (-92.625 6.875)
244,POINT (-92.625 7.125)
245,POINT (-92.625 7.375)
246,POINT (-92.625 7.625)
247,POINT (-92.625 7.875)
248,POINT (-92.625 8.125)
249,POINT (-92.625 8.375)
250,POINT (-92.625 8.625)
251,POINT (-92.625 8.875)
252,POINT (-92.625 9.125)
253,POINT (-92.625 9.375)
254,POINT (-92.625 9.625)
255,POINT (-92.625 9.875)
256,POINT (-92.625 10.125)
257,POINT (-92.625 10.375)
258,POINT (-92.625 10.625)
259,POINT (-92.625 10.875)
260,POINT (-92.625 11.125)
261,POINT (-92.625 11.375)
262,POINT (-92.625 11.625)
263,POINT (-92.625 11.875)
264,POINT (-92.625 12.125)
265,POINT (-92.625 12.375)
266,POINT (-92.625 12.625)
267,POINT (-92.625 12.875)
268,POINT (-92.625 13.125)
269,POINT (-92.625 13.375)
270,POINT (-92.625 13.625)
271,POINT (-92.625 13.875)
